,SPEED
4043,-0.6972840000000033
4044,-0.9657520000000019
4045,-2.361373999999998
4046,-2.363900000000001
4047,-1.7940949999999987
4048,-3.6195179999999993
4049,-3.6186299999999996
4050,-2.8614000000000033
4051,-4.4393569999999976
4052,-5.737762000000002
4053,-3.9588513999999995
4054,-6.4304266
4080,-0.9328199999999995
4081,-0.8761900000000011
4083,-1.9039859999999997
4091,-0.7032670000000003
4092,-0.9130270000000031
4094,-0.37787799999999905
4095,-1.8391330000000004
4096,-0.6994819999999997
4101,-0.3101230000000008
4102,-0.052099000000001894
4103,-0.13278000000000034
4104,-1.520028
4105,-0.6244269999999972
4106,-0.8672450000000005
4107,-0.1027319999999996
4108,-0.5237650000000009
4109,-0.18442399999999992
4122,-0.754252000000001
4123,-2.8435339999999982
4124,-6.265977999999997
4125,-7.560377000000003
4126,-5.089882999999999
4127,-5.352002000000001
4128,-2.88887
4130,-6.210596
4133,-2.1471393
4141,-0.08496240000000022
4150,-7.205525
4151,-1.929371999999999
4158,-0.591978000000001
4160,-0.9147280000000002
4161,-0.6443729999999981
4162,-1.4222010000000012
4164,-4.619334000000002
4165,-3.7997089999999965
4166,-2.630169000000002
4167,-0.769584
4168,-0.4546379999999992
4169,-1.6075210000000002
4171,-0.027931000000000594
4179,-0.5633200000000009
4198,-0.09817999999999927
4199,-0.3394049999999993
4200,-0.13679499999999933
4206,-0.6310860000000034
4207,-0.9844009999999983
4208,-1.5255530000000022
4209,-0.9228499999999968
4210,-1.4748340000000013
4211,-1.0512579999999971
4213,-0.4453800000000001
4214,-0.7121740000000045
4215,-0.6905029999999996
4216,-1.0916059999999987
4218,-5.831902000000003
4220,-3.5626379999999997
4221,-3.8592559999999985
4231,-0.13301500000000033
4232,-0.36815
4233,-0.17442599999999686
4234,-0.598511000000002
4235,-0.26867999999999626
4236,-1.5452770000000058
4239,-3.771090000000001
4241,-2.6518000000000015
4242,-0.6731579999999937
4243,-4.069798000000002
4244,-3.2847340000000003
4245,-2.5535700000000006
4246,-9.379868
4248,-4.100541
4249,-3.8221996000000003
4250,-7.1621914
4274,-0.27652240000000017
4275,-1.4062170999999992
4288,-0.8946719999999999
4290,-0.2600100000000012
4292,-4.046129999999998
4294,-1.3532620000000009
4295,-2.649901999999999
4296,-1.7469580000000011
4297,-2.9194185999999993
4298,-2.6155054
4299,-4.283603
4367,-0.4247160000000001
4368,-0.2444550000000021
4369,-0.2369609999999973
4370,-0.030374999999999375
4371,-0.2381800000000034
4372,-0.051888999999999186
4373,-0.8724789999999985
4394,-0.02056899999999473
4395,-0.35826500000000294
4396,-0.7683729999999969
4397,-1.3891800000000032
4398,-1.6979800000000012
4399,-1.3243719999999968
4400,-1.5505100000000027
4401,-2.897548999999998
4402,-7.269670999999999
4404,-2.987686
4405,-3.7662675000000014
4406,-2.919781500000001
4407,-2.194348999999999
4408,-2.0250373
4409,-4.3838954
4411,-0.9782606999999999
4412,-2.0978506
4449,-0.7923510000000036
4450,-1.3291639999999987
4451,-0.705369999999995
4452,-1.019161000000004
4453,-1.1277989999999996
4458,-0.18951999999999813
4459,-0.7908819999999999
4460,-2.3419360000000005
4461,-1.6123189999999994
4462,-0.025688000000002376
4464,-0.9527329999999985
4465,-1.9922150000000016
4466,-1.2240730000000006
4467,-1.3990249999999982
4468,-1.6436160000000015
4469,-2.2111069999999984
4470,-3.4214585
4471,-1.5827345000000008
4473,-0.18712200000000045
