,acceleration,SPEED,Frequency
557,-1.7,5.0,3.855879230435055e-06
558,-1.7,6.0,7.283327435266214e-06
559,-1.7,7.0,3.4274482048311595e-06
560,-1.7,10.0,8.568620512077899e-07
561,-1.7,12.0,8.568620512077899e-07
562,-1.7,15.0,5.998034358454529e-06
563,-1.7,16.0,2.9990171792272646e-06
564,-1.7,17.0,3.4274482048311595e-06
565,-1.7,18.0,1.3709792819324638e-05
566,-1.7,19.0,1.1567637691305164e-05
567,-1.7,20.0,1.5851947947344113e-05
568,-1.7,21.0,7.283327435266214e-06
569,-1.7,22.0,7.283327435266214e-06
570,-1.7,23.0,8.5686205120779e-06
571,-1.7,24.0,1.1139206665701269e-05
572,-1.7,25.0,8.997051537681793e-06
573,-1.7,26.0,9.425482563285689e-06
574,-1.7,27.0,5.1411723072467395e-06
575,-1.7,28.0,8.5686205120779e-06
576,-1.7,29.0,5.569603332850634e-06
577,-1.7,30.0,6.426465384058424e-06
578,-1.7,31.0,4.28431025603895e-06
579,-1.7,32.0,4.28431025603895e-06
580,-1.7,33.0,4.28431025603895e-06
581,-1.7,34.0,3.4274482048311595e-06
582,-1.7,35.0,5.569603332850634e-06
583,-1.7,36.0,5.1411723072467395e-06
584,-1.7,37.0,2.5705861536233697e-06
585,-1.7,38.0,2.9990171792272646e-06
586,-1.7,39.0,2.9990171792272646e-06
587,-1.7,40.0,3.4274482048311595e-06
588,-1.7,41.0,2.142155128019475e-06
589,-1.7,42.0,2.142155128019475e-06
590,-1.7,43.0,2.9990171792272646e-06
591,-1.7,44.0,1.2852930768116849e-06
592,-1.7,45.0,3.4274482048311595e-06
593,-1.7,46.0,1.2852930768116849e-06
594,-1.7,47.0,8.568620512077899e-07
595,-1.7,48.0,8.568620512077899e-07
596,-1.7,49.0,4.2843102560389494e-07
597,-1.7,50.0,4.2843102560389494e-07
598,-1.7,52.0,1.7137241024155797e-06
599,-1.7,53.0,8.568620512077899e-07
600,-1.7,54.0,4.2843102560389494e-07
601,-1.7,55.0,8.568620512077899e-07
602,-1.7,58.0,4.2843102560389494e-07
603,-1.7,64.0,4.2843102560389494e-07
604,-1.6,1.0,6.76921020454154e-05
605,-1.6,2.0,0.00014780870383334377
606,-1.6,3.0,2.0993120254590852e-05
607,-1.6,4.0,1.7137241024155797e-06
608,-1.6,5.0,5.569603332850634e-06
609,-1.6,6.0,1.0282344614493479e-05
610,-1.6,7.0,8.5686205120779e-06
611,-1.6,9.0,4.2843102560389494e-07
612,-1.6,10.0,1.2852930768116849e-06
613,-1.6,13.0,4.2843102560389494e-07
614,-1.6,14.0,3.4274482048311595e-06
